,names,countries,min_order,delivery_fee,amount_of_rankers,delivery_time_MAX,ranking
19556, Texas Charcoal Chicken ,Australia,0,3.2934,121,35,4.7
19557, Bavarian - York Street ,Australia,0,3.2934,4,35,5.58
19558, Pho Tonkin ,Australia,0,2.6334,19,35,4.33
19559, Lucky 7 - Glebe ,Australia,0,3.2934,4,35,3.75
19560, Metro Kebab ,Australia,0,2.6334,6,35,5.17
19561, Dumplings & Beer ,Australia,0,3.2934,4,35,3.92
19562, Best Five Star Kebab ,Australia,0,2.6334,1,35,1.67
19563, On Rice - Darlinghurst ,Australia,0,2.3034,65,35,4.63
19564, Yum House ,Australia,0,2.3034,8,35,4.08
19565, Prodigy Cafe ,Australia,0,3.2934,9,50,4.11
19566, Vietnamese Rolls & Bubble Tea - Leichhardt ,Australia,0,3.2934,30,35,2.94
19567, Thirsty Bird ,Australia,0,3.2934,2,35,3.5
19568, Killiney Kopitiam - Central Park ,Australia,0,2.6334,14,35,4.21
19569, Sparrow's Mill Express ,Australia,0,2.6334,86,35,4.71
19570, The Gardens Cafe - World Square ,Australia,0,1.9734,1,35,2
19571, Eat Fuh - Darlinghurst ,Australia,0,3.2934,18,35,4.85
19572, Donut King - Leichhardt ,Australia,0,2.6334,5,35,4.13
19573, San Valentino ,Australia,0,2.6334,4,20,6
19574, Dosa Hub - Balmain ,Australia,0,3.9534,1,35,4.33
19575, The Banh and Mi - Leichhardt ,Australia,0,2.6334,14,20,2.71
19576, Sharetea - Haymarket ,Australia,0,0.6534,64,35,4.67
19577, Max Brenner - Centrepoint ,Australia,0,2.6334,4,35,5.75
19578, Philosophy Cafe ,Australia,0,1.9734,4,35,4.33
19579, C'ya Restaurant - Cafe C'ya ,Australia,0,1.9734,1,35,6
19580, Ben & Jerry's + Magnum Store - Darlinghurst ,Australia,0,3.9534,8,35,3.63
19581, Machi Machi - Central Park ,Australia,0,2.6334,321,35,4.9
19582, Ezymart - Pitt St ,Australia,0,2.6334,10,35,5.47
19583, Burgerhood ,Australia,0,0.6534,4,20,4.25
19584, Happy Chef Noodle Restaurant ,Australia,0,2.6334,34,35,5.53
19585, Tawandang ,Australia,0,2.6334,9,35,4.93
19586, Suke Sushi & Poke - Surry Hills ,Australia,0,1.9734,16,35,4.54
19587, The One Dim Sim ,Australia,0,3.2934,433,35,4.81
19588, Bion Societe Cafe ,Australia,0,1.9734,9,35,4.44
19589, Obunmee - Pyrmont ,Australia,0,2.6334,16,35,4.94
19590, Five Points Burger - Sydney ,Australia,0,3.2934,9,35,3.3
19591, PappaRich - UTS Express ,Australia,0,3.2934,16,35,5.81
19592, Angry Bbq ,Australia,0,1.9734,11,35,5.7
19593, Kyo-to ,Australia,0,1.9734,8,35,3.67
19594, Criniti's - Darling Harbour ,Australia,0,0.6534,12,35,4.61
19595," Somyoe""s Noodle House. ",Australia,0,3.2934,2,35,6
19596, Flying Saucer Vegan Pizza - Chippendale ,Australia,0,1.9734,19,35,5.12
19597, Bread n More Bakery and Cafe - Surry Hills ,Australia,0,1.9734,11,35,4.76
19598, Lokanta ,Australia,0,1.9734,1,35,5.67
19599, Mumbai Express - Broadway ,Australia,0,1.9734,1,35,5.67
19600, Easilive Supermarket ,Australia,0,1.9734,2,35,5
19601, The Balkan Butler ,Australia,0,2.6334,13,20,4.15
19602, Jorjarn ,Australia,0,1.9734,10,35,5.23
19603, Oriental Dumpling & Noodle King ,Australia,0,2.6334,9,35,4.59
19604, Mama Bao ,Australia,0,3.2934,16,35,4.4
19605, JiaoJiaoXiaoYu - Haymarket ,Australia,0,1.6434,5,35,2.8
19606, Long Piano Bar and Restaurant ,Australia,0,2.6334,4,35,3.92
19607, Bun Me Vietnamese Street Food ,Australia,0,3.2934,3,35,5.56
19608, The Rendez Vous Crepe - Sydney ,Australia,0,3.2934,16,35,4.38
19609, Musou Yakiniku ,Australia,0,1.9734,10,35,4.87
19610, Buon Gusto ,Australia,0,1.9734,3,35,3.78
19611, 1947 Brasserie ,Australia,0,3.9534,2,35,1.67
19612, Gotcha Fresh Tea - Sydney China Town ,Australia,0,3.2934,5,35,5.13
19613, Haak Eatery ,Australia,0,3.2934,1,35,6
19614, Five Dock Thai Restaurant ,Australia,0,3.2934,1,35,1
19615, Pizze Baby ,Australia,0,2.6334,13,35,5.59
19616, Angry Tony's Pizza ,Australia,0,3.2934,4,35,4
19617, Forest Lodge Cafe ,Australia,0,0.6534,5,35,3.2
19618, Christopher's Cake Shop - Surry Hills ,Australia,0,2.6334,1,35,2.33
19619, MAD Pizza & Bar - Darlinghurst ,Australia,0,2.6334,5,35,3.8
19620, Don't Doughnuts ,Australia,0,2.6334,1,35,6
19621, Bang Luck ,Australia,0,2.6334,3,35,4.22
19622, The Boulevard Takeaway ,Australia,0,1.3134,1,35,5
19623, Foodoomooloo Turkish Street Food - Woolloomooloo ,Australia,0,2.6334,1,35,6
19624, Ikhwan Cafe - Sydney ,Australia,0,3.2934,3,35,6
19625, Monster Sushi Bar ,Australia,0,3.2934,2,35,3.5
19626, Top Juice - QVB ,Australia,0,1.9734,10,35,4.5
19627, Shanghai Dumpling - Chippendale ,Australia,0,3.2934,48,35,4.83
19628, Little Sichuan Canton ,Australia,0,2.6334,8,35,5.25
19629, Uliveto Pizza Pasta ,Australia,0,0.6534,1,35,1.33
19630, The Small Lemongrass ,Australia,0,1.9734,4,35,4
19631, Taste on the Rocks ,Australia,0,1.3134,2,35,6
19632, Sizzling King ,Australia,0,3.2934,3,35,4.56
19633, Blue Fish ,Australia,0,2.6334,5,35,3.4
19634, Presse Cafe - Surry Hills ,Australia,0,0.6534,20,35,3.28
19635, Griddle King - Chippendale ,Australia,0,3.2934,2,35,2.5
19636, Buddy's Convenience Store - Darlinghurst ,Australia,0,3.2934,7,35,4.05
19637, Fish & Lemonade - Drummoyne ,Australia,0,2.6334,12,35,4.17
19638, Fujimi Dorayaki - Sydney Regent Place ,Australia,0,0.6534,1,35,2
19639, Babawu - CBD ,Australia,0,0.6534,2,35,2
19640, Chef N Wok ,Australia,0,1.9734,3,35,3.89
19641, La Vie Coffee Shop ,Australia,0,2.6334,10,35,2.63
19642, Fratelli Fresh - Westfield Sydney ,Australia,0,2.6334,2,35,5.67
19643, The Messenger Cafe - Pyrmont ,Australia,0,2.6334,11,35,4.3
19644, San Valentino - Potts Point ,Australia,0,3.2934,11,35,5.15
19645, Black Velvet - Sydney ,Australia,0,1.9734,8,35,3.96
19646, Chatime - Wynyard Met Centre ,Australia,0,3.2934,5,35,4.73
19647, Buddy's Convenience Store - Pyrmont ,Australia,0,2.6334,1,35,6
19648, Quick and Ezy Mart ,Australia,0,1.9734,1,35,2.67
19649, Burger Project - World Square ,Australia,0,1.9734,1,35,2.67
19650, Broadway Crown ,Australia,0,3.2934,1,35,6
19651, Lagriglia ,Australia,0,1.9734,3,35,5
19652, Vietnamese Experience ,Australia,0,1.9734,1,35,2.67
19653, Nth Degree Cafe ,Australia,0,3.2934,6,35,5.78
19654, Dorchester Cafe ,Australia,0,1.9734,2,35,6
19655, Binge Cafe | Bar | Kitchen ,Australia,0,1.9734,1,35,1
19656, Healthy Juice ,Australia,0,1.9734,1,35,1
19657, Griddle King - Haymarket ,Australia,0,1.3134,1231,35,3.81
19658, The York Street Eatery ,Australia,0,3.2934,207,35,3.48
19659, Shanghai WangWang - RSL ,Australia,0,3.2934,651,35,3.48
19660, Frothy ,Australia,0,0.6534,230,35,3.71
19661, The Captains Balcony ,Australia,0,3.2934,175,35,4.41
19662, Oliver Brown - Haymarket ,Australia,0,3.2934,68,35,3.38
19663, Dutch Smuggler Coffee Brewers ,Australia,0,3.2934,40,35,3.89
19664, Time Square BBQ & Cafe ,Australia,0,3.2934,2,35,4.67
19665, Desserts & Burgers at Merchants of Ultimo ,Australia,0,1.9734,1,35,2
19666, Livelo Espresso & Kitchen ,Australia,0,1.9734,2,35,3.5
19667, Local Mbassy ,Australia,0,3.2934,1,35,1
19668, Top Choi Chinese Cuisine ,Australia,0,2.6334,4,35,4.25
19669, Watta Burrger Darlinghurst ,Australia,0,3.2934,7,35,2.9
19670, Hangry Tomato ,Australia,0,2.6334,505,35,4.05
19671, Bear Buns - Darlinghurst ,Australia,0,1.9734,325,35,3.56
19672, Cheegel Wiggle ,Australia,0,2.6334,276,20,3.55
19673, Zey Coffee & Gozleme ,Australia,0,2.6334,58,35,4.33
19674, Bayswater Burgers ,Australia,0,2.6334,25,35,4.19
19675, The Gardener's Grill ,Australia,0,0.6534,17,35,4.02
19676, Tianti Books & Coffee Shop ,Australia,0,2.6334,49,35,3.97
19677, Cook & Archies Caffe ,Australia,0,2.6334,378,35,3.77
19678, Eve's Bar ,Australia,0,3.2934,150,35,3.63
19679, A Brewer's Tale Cafe ,Australia,0,1.9734,30,35,4.51
19680, The Lord of Pizza ,Australia,0,2.6334,2,35,6
19681, Malacca Straits Thai - Sydney ,Australia,0,2.6334,2,35,4.84
19682, Mist Coffee ,Australia,0,3.9534,16,35,5.46
19683, Grind House 59 Espresso and Sandwich ,Australia,0,3.2934,3,35,4.33
19684, Type B Cafe ,Australia,0,1.3134,1,35,6
19685, Moosir Persian Cuisine ,Australia,0,3.2934,15,35,3.69
19686, The Sporting Globe x 4 Pines ,Australia,0,2.6334,200,35,4.81
19687, Stop Valve ,Australia,0,1.9734,133,35,4.92
19688, Roll In & Out ,Australia,0,2.6334,523,35,4.67
19689, Taste Baguette - Centerpoint ,Australia,0,0.6534,335,35,4.85
19690, Spice Boys Indian And Nepalese Food ,Australia,0,2.6334,44,35,3.84
19691, Yifang Taiwan Fruit Tea Central ,Australia,0,2.6334,10,35,4.17
19692, Café 59 ,Australia,0,2.6334,22,35,4.56
19693, Steve Costi's Famous Burgers - Woollahra ,Australia,0,3.2934,585,35,3.91
19694, myCaviar Bar ,Australia,0,1.9734,99,35,4.16
19695, Juice Master ,Australia,0,2.6334,278,35,4.32
19696, One Pot - Sydney CBD ,Australia,0,3.927,74,35,4.45
19697, Mogu Mogu Oz ,Australia,0,2.3034,37,35,4.54
19698, Billy Blargo ,Australia,0,3.2934,28,35,4.1
19699, Immune Booster Station by T.M ,Australia,0,3.2934,8,35,3.42
19700, Cambodge Cafe ,Australia,0,3.927,98,35,3.56
19701, Gotcha Fresh Tea - Broadway Uts ,Australia,0,3.927,18,35,3.87
19702, Calico Cafe ,Australia,0,2.6334,180,35,4.39
19703, Sushi Bar - Surry Hills ,Australia,0,1.9734,26,35,4.88
19704, Mr & Mrs Beautea House - Haymarket ,Australia,0,1.9734,6,35,4.45
19705, Qian Yuan BBQ - Haymarket ,Australia,0,3.2934,13,35,3.69
19706, McDonald's - Drummoyne ,Australia,0,1.9734,31,35,4.91
19707, McDonald's - Harbourside ,Australia,0,3.9534,2,35,6
19708, McDonald's - Broadway ,Australia,0,3.9534,14,35,2.48
19709, McDonald's - Plaza ,Australia,0,3.2934,3,35,5.67
19710, McDonald's - Wynyard Railway ,Australia,0,2.6334,3,35,2.67
19711, McDonald's - Sydney Gateway ,Australia,0,2.3034,35,35,4.44
19712, McDonald's - Sydney Central ,Australia,0,3.9534,293,35,5.15
19713, World of Wings - Ultimo ,Australia,0,2.6334,5,35,4.2
19714, Ungki's - Ultimo ,Australia,0,2.3034,98,35,3.82
19715, Big George's Burgers - Surry Hills ,Australia,0,3.2934,12,35,5.72
19716, Absurd Bird - Ultimo ,Australia,0,5.907,2,35,2.5
19717, Absurd Bird - Surry Hills ,Australia,0,1.9734,6,35,2.72
19718, World Of Wings - Surry Hills ,Australia,0,3.2934,1,35,3.33
19719, Grill'd - Darlinghurst ,Australia,0,3.2934,5,35,4.4
19720, Guzman y Gomez - GYG - Broadway ,Australia,0,1.9734,4,35,5.92
19721, Guzman y Gomez - GYG - Darling Harbour ICC ,Australia,0,2.6334,1,35,2.67
19722, Guzman Y Gomez - GYG - Australia Square ,Australia,0,2.6334,174,35,4.67
19723, Guzman y Gomez - GYG - Westfield Sydney ,Australia,0,3.2934,3977,35,3.89
19724, Guzman y Gomez - GYG - Darling Park ,Australia,0,0.6534,3,35,4.33
19725, Guzman y Gomez - GYG - Martin Place ,Australia,0,3.2934,816,35,4.39
19726, KFC - Darling Harbour ,Australia,0,3.9534,1698,35,3.84
19727, Nando's - Broadway Shopping Centre ,Australia,0,2.6334,564,35,4.73
19728, Sushi Hub - Balmain ,Australia,0,2.6334,101,35,3.04
19729, Sushi Hub - Chifley Plaza ,Australia,0,3.9534,277,35,4.71
19730, Sushi Hub - World Tower ,Australia,0,3.2934,79,35,5.74
19731, Sushi Hub - World Square ,Australia,0,3.2934,970,35,4.7
19732, Sushi Hub - 631 George Street ,Australia,0,2.6334,213,35,3.79
19733, Sushi Hub - Wintergarden ,Australia,0,3.927,1588,35,4.96
19734, Bakers Delight - Rozelle ,Australia,0,3.2934,444,20,5.18
19735, Philly Up - Darlinghurst ,Australia,0,1.9734,552,45,4.62
19736, Subway - Surry Hills ,Australia,0,3.2934,652,35,5.29
19737, Subway - Broadway ,Australia,0,3.2934,43,35,4.76
19738, Subway - Central ,Australia,0,1.9734,248,35,4.73
19739, Subway - Birkenhead Point ,Australia,0,3.2934,341,35,3.79
19740, Subway - Bathurst Street Sydney ,Australia,0,2.6334,14,35,5.12
19741, Subway - Clarence St ,Australia,0,3.2934,10,35,5.27
19742, Hungry Jack's - George St ,Australia,0,3.2934,4,35,5.17
19743, Hungry Jack's - Circular Quay ,Australia,0,3.9534,264,35,4.91
19744, Oporto - Oxford Street ,Australia,0,3.9534,347,35,4.28
19745, Oporto - Sydney Central Plz ,Australia,0,2.6334,11,35,6
19746, Oporto - Gateway Plaza ,Australia,0,2.6334,93,35,4.29
19747, Zeus Street Greek - Surry Hills ,Australia,0,2.6334,131,35,4.95
19748, Zeus Street Greek - Westfield Sydney ,Australia,0,3.2934,1,35,1
19749, Pizza Hut - Potts Point ,Australia,0,3.2934,80,35,5.39
19750, Mad Mex - SCP ,Australia,0,2.6334,445,20,4.28
19751, Mad Mex - Crown St ,Australia,0,2.6334,20,35,5.02
19752, Mad Mex - Met Centre ,Australia,0,3.2934,13,35,3.51
19753, Mad Mex - Circular Quay Gateway Plaza ,Australia,0,2.6334,200,35,5.01
19754, Schnitz - Gateway Circular Quay ,Australia,0,2.6334,148,35,4.53
19755, Fishbowl - The Exchange ,Australia,9.9,0,145,35,4.52
19756, Fishbowl - 275 Kent St ,Australia,9.9,0,271,35,4.81
19757, Fishbowl - The Galeries ,Australia,0,2.6334,38,35,3.75
19758, Fishbowl - Wintergarden ,Australia,0,3.2934,74,35,4.82
19759, Fishbowl - Chifley Plaza ,Australia,0,3.2934,2,,2.67
19760, Andiamo Trattoria - Chippendale ,Australia,0,2.6334,5,,3.27
19761, Made In Italy - Sydney CBD ,Australia,0,3.2934,99,,4.51
19762, The Grand Palace - Indian Restaurant ,Australia,0,3.2934,4,,5.67
19763, Ogalo - City ,Australia,,,172,,3.88
19764, Stacked - MLC Centre ,Australia,,,110,,4.67
19765, Soul Origin - Sydney Wintergarden ,Australia,,,121,,4.81
19766, Soul Origin - Sydney Town Hall ,Australia,,,246,,4.36
19767, Winghaus - World Square ,Australia,,,10,,4
19768, Roll'd - Oconnell St ,Australia,,,1,,2
19769, Bavarian - World Square ,Australia,,,116,,4.66
19770, Top Juice - World Square ,Australia,,,1,,5
19771, Top Juice - Chifley ,Australia,,,58,,4.75
19772, Top Juice - Wintergarden ,Australia,,,243,,4.91
19773, Pizza & Burger Co Balmain ,Australia,,,17,,5.57
19774, The Darling Pizzeria ,Australia,,,34,,4.6
19775, Fishwave - Oxford ,Australia,,,3,,5.67
19776, Red Rooster - Summer Hill ,Australia,,,1,,6
19777, KFC - Broadway ,Australia,,,23,,4.43
19778, Nanjing Dumpling ,Australia,,,9,,4.04
19779, Chargrill Charlie's - Drummoyne ,Australia,,,11,,4.58
19780, Taco Bell - Haymarket ,Australia,,,1,,1.33
19781, Xing Fu Tang - Haymarket ,Australia,,,1,,1
19782, Leichhardt Espresso ,Australia,,,1,,6
19783, Kings Cross Bakery ,Australia,,,128,,5.05
19784, Fishbowl - Barangaroo ,Australia,,,28,,3.98
19785, Spice Sutra - Balmain ,Australia,,,61,,4.35
19786, Planet Pizza - Glebe ,Australia,,,2,,6
19787, McDonald's - Darling Square ,Australia,,,22,,5.35
19788, Dumplings & Beer - Drummoyne ,Australia,,,30,,5.36
19789, Jasmin 1 Lebanese ,Australia,,,41,,4.8
19790, Balmain Grocery & Convenience ,Australia,,,132,,5.07
19791, Mr Q’s Restaurant - Chinese Takeaway ,Australia,,,174,,4.77
19792, Chat Thai Thaitown ,Australia,,,7,,3.86
19793, City Mart - Sydney ,Australia,,,54,,3.68
19794, Rakuen Sushi ,Australia,,,48,,4.49
19795, Gozleme Eats ,Australia,,,403,,4.64
19796, Chatime - UTS ,Australia,,,172,,5.09
19797, Crust Pizza - Pyrmont ,Australia,,,125,,4.45
19798, Hungry Jack's - Kings Cross ,Australia,,,26,,4.59
19799, Dog n Bun - Darlinghurst ,Australia,,,15,,4.93
19800, Vinfafe ,Australia,,,33,,4.33
19801, The Pig & Pastry ,Australia,,,33,,4.76
19802, Cafe Ramseys - Drummoyne ,Australia,,,21,,5.38
19803, Baba Laska & Roti ,Australia,,,216,,5.23
19804, Golden Pide ,Australia,,,73,,4.55
19805, Michael's Charcuterie ,Australia,,,4,,3.5
19806, Guzman y Gomez - GYG - World Square ,Australia,,,41,,4.28
19807, Kiroran Silk Road Uyghur Restaurant ,Australia,,,1545,,4.86
19808, Sushi Wu ,Australia,,,1,,6
19809, Subway - Rozelle ,Australia,,,434,,5.2
19810, Plateia Where Friends Meet ,Australia,,,3,,3.78
19811, T.A.N.K Cafe ,Australia,,,76,,3.51
19812, Sushi Hub - 815 George Street Central ,Australia,,,149,,4.73
19813, Ribs & Burgers - Drummoyne ,Australia,,,133,,4.17
19814, The Rendez Vous Crepe ,Australia,,,3,,3.22
19815, 85 Degrees Café Central Park ,Australia,,,908,,4.21
19816, Boost Juice - Broadway ,Australia,,,40,,4.85
19817, High 'n Dry ,Australia,,,39,,4.09
19818, Dessert Store - Surry Hills ,Australia,,,91,,5.14
19819, Zeus Street Greek - Drummoyne ,Australia,,,3,,4.89
19820, Kebabs on Glebe ,Australia,,,1,,1
19821, MyKiki ,Australia,,,10,,4.1
19822, Ajisen Ramen Japanese Restaurant ,Australia,,,18,,3.87
19823, Couchfood - Rozelle - Powered by BP ,Australia,,,106,,4.85
19824, Mi Babbio Cafe - Surry Hills ,Australia,,,23,,4.07
19825, Wok Station-Pyrmont ,Australia,,,4,,2.33
19826, KFC - Sydney Central Plaza ,Australia,,,146,,4.7
19827, Kadmus Lebanese Cuisine ,Australia,,,27,,4.4
19828, Spitroast - Balmain ,Australia,,,28,,4.2
19829, 1915 Halal Lanzhou Beef Noodle - CBD ,Australia,,,12,,5.75
19830, Betty's Burgers - Darling Harbour ,Australia,,,3,,1.22
19831, Roll'd - Tramsheds ,Australia,,,843,,5.15
19832, The Hills Middle Eastern ,Australia,,,2,,5.17
19833, Zambrero - Darlinghurst ,Australia,,,43,,5.05
19834, Abadan Burger ,Australia,,,4,,4.5
19835, Dopa by Devon ,Australia,,,66,,5.16
19836, Fried Chicken by Red Rooster - Summer Hill ,Australia,,,5,,2.47
19837, MingFu Stir-Fry Restaurant ,Australia,,,102,,4.3
19838, Shiba's Kitchen ,Australia,,,2,,4.67
19839, Sakura Japanese Kitchen ,Australia,,,18,,4.94
19840, Est. 1901 - Haberfield ,Australia,,,24,,4.85
19841, Steve Costi's Seafood - Woollahra ,Australia,,,35,,3.98
19842, Sharetea - Barangaroo ,Australia,,,14,,4.48
19843, Metro Petroleum - Haberfield ,Australia,,,19,,4.4
19844, Charmhor ,Australia,,,12,,5.72
19845, Fish & Co. - Tramsheds ,Australia,,,145,,4.64
19846, Jiang Nan Gallery ,Australia,,,9,,4.81
19847, Mikel - Five Dock ,Australia,,,83,,4.8
19848, Hangry Tomato - Leichhardt ,Australia,,,227,,5.08
19849, Ollie's Kitchen - Potts Point ,Australia,,,52,,4.51
19850, Blue Elephant Thai ,Australia,,,3,,4.44
19851, Darling Kebabs ,Australia,,,76,,4.52
19852, Anjappar - Sydney CBD ,Australia,,,5,,5.53
19853, Crazydog Hotdog ,Australia,,,6,,4.67
19854, Haberfield Exotic Indian ,Australia,,,10,,4.8
19855, Malay Chinese Takeaway (Lime St) ,Australia,,,91,,3.87
19856, Thai La-Ong - Drummoyne ,Australia,,,14,,4.05
19857, Fat Fish ,Australia,,,2,,4.34
19858, Indian Masala Food ,Australia,,,29,,4.7
19859, Social Brew Cafe - Pyrmont ,Australia,,,13,,4.82
19860, Oporto - Kings Cross ,Australia,,,31,,4.58
19861, Made in Italy - Five Dock ,Australia,,,2,,3.84
19862, Golden Fang ,Australia,,,34,,4.52
19863, Mission Cafe ,Australia,,,12,,4.94
19864, Grill Republic ,Australia,,,4,,5.33
19865, Surry Hills Dumplings ,Australia,,,30,,3.87
19866, Grandmas Laksa House ,Australia,,,9,,2.74
19867, An Viet - Broadway ,Australia,,,157,,5.03
19868, Tara Sushi Bar ,Australia,,,99,,5.01
19869, Sushi Train - Surry Hills ,Australia,,,7,,4.9
19870, Leichhardt Municipal Cafe ,Australia,,,30,,4.26
19871, Sapa Modern Vietnamese Restaurant ,Australia,,,1,,5
19872, Chefs Gallery - Town Hall ,Australia,,,6,,5.17
19873, Desserts2u - Glebe ,Australia,,,38,,4.38
19874, Pepper Lunch- George st ,Australia,,,22,,3.32
19875, Surjit's Indian Restaurant ,Australia,,,69,,4.97
19876, Sidney Lounge ,Australia,,,3,,4
19877, Wandee Thai Restaurant- Surry Hills ,Australia,,,9,,4.89
19878, Ming's Duck Vermicelli Soup Shop ,Australia,,,1,,4.33
19879, Matchstick Masala - Wharf ,Australia,,,12,,4.81
19880, 7Spices Indian Cuisine ,Australia,,,15,,4.56
19881, Fire and Food - Australia Square ,Australia,,,1,,6
19882, Fire and Food - Martin Place ,Australia,,,55,,3.48
19883, Fried Crispy Chicken & Fries ,Australia,,,27,,5.02
19884, Nando's - Kent Street ,Australia,,,22,,5.26
19885, Grill'd - Broadway ,Australia,,,208,,4.39
19886, Sesame Street ,Australia,,,6,,4.5
19887, China Spice - Australia Square ,Australia,,,39,,3.99
19888, Biang Biang Noodle House ,Australia,,,44,,4.62
19889, WizBurgerz - Sydney ,Australia,,,5,,4.6
19890, Betty's Burgers - Circular Quay ,Australia,,,56,,4.65
19891, Leichhardt Convenience ,Australia,,,20,,3.88
19892, Master Team Turkish Cuisine ,Australia,,,39,,4.85
19893, Fat Fingers ,Australia,,,414,,3.86
19894, The Colonial Darlinghurst ,Australia,,,6,,2.89
19895, Mr Dim Sum ,Australia,,,2,,3.17
19896, Ben & Jerry's + Magnum Store - Darlinghurst (nsw) ,Australia,,,12,,4.58
19897, Lukumades - Chippendale ,Australia,,,11,,3.67
19898, Goobne - Darling Square ,Australia,,,5,,4.13
19899, Our Kebab House ,Australia,,,1,,5
19900, Filicudi Restaurant - Five Dock ,Australia,,,13,,4.97
19901, Sri Lankan Bites ,Australia,,,2,,4
19902, Love is Delicious Mediterranean Bar & Grill ,Australia,,,12,,4.58
19903, Max Brenner - World Square ,Australia,,,3,,4.89
19904, Toyosu Suisan- Darling Square ,Australia,,,7,,5.38
19905, Burrito Warrior ,Australia,,,2,,4.67
19906, Moon D'or Cafe ,Australia,,,416,,4.36
19907, Oh My Pho - Pitt St ,Australia,,,6,,4.33
19908, UMAYA - World Square ,Australia,,,3,,4.44
19909, Cubans by Pablo ,Australia,,,1,,3.33
19910, Pablo's Kitchen Tacos ,Australia,,,3,,2.33
19911, Aperitivo ,Australia,,,5,,4.93
19912, Satang Thai Takeaway ,Australia,,,1,,6
19913, Rebowl Chinese Restaurant ,Australia,,,578,,4.43
19914, Vapiano - King St Sydney ,Australia,,,2,,4.67
19915, Al-Rayyan Indian Restaurant ,Australia,,,15,,4.73
19916, The Twelve Cafe ,Australia,,,4,,2.42
19917, Bobby's Corner - Surry Hills ,Australia,,,7,,5.14
19918, Coffee Hub - World Square ,Australia,,,14,,5.38
19919, Bellevue Cottage By Antoine ,Australia,,,1,,6
19920, ToastieSmith - The Galeries ,Australia,,,2,,6
19921, Shalom Indonesian Restaurant - Sydney ,Australia,,,23,,4.72
19922, A Bowl Of Noodles - Haymarket ,Australia,,,660,,4.94
19923, De Lama Eats ,Australia,,,53,,5.87
19924, Little Chinese Kitchen ,Australia,,,96,,4.92
19925, Greek Feast ,Australia,,,57,,4.43
19926, Photown - Surry Hills ,Australia,,,18,,4.07
19927, Lab Kitchen - Five Dock ,Australia,,,18,,4.28
19928, CoCo Fresh Tea & Juice - Broadway ,Australia,,,11,,3.09
19929, Home Thai Restaurant ,Australia,,,2,,3
19930, Sedap Malaysian ,Australia,,,561,,4.64
19931, ReccoLab ,Australia,,,10,,5.1
19932, Robo Restaurant ,Australia,,,8,,3.38
19933, Taku Fresh Sushi ,Australia,,,6,,5.06
19934, Caminetto Italian at The Rocks ,Australia,,,30,,4.56
19935, Iconic Kebabs ,Australia,,,14,,4.6
19936, Koutouki ,Australia,,,2,,4.84
19937, La Panchina ,Australia,,,69,,4.99
19938, City Edge ,Australia,,,14,,4.69
19939, It's Time For Thai - Haymarket ,Australia,,,32,,5.42
19940, Rivareno Gelato - Darlinghurst ,Australia,,,1,,2.33
19941, P'Nut Street Noodles - Balmain ,Australia,,,1,,6
19942, Dumpling & Noodle ,Australia,,,33,,4.82
19943, That's Amore ,Australia,,,1,,4.33
19944, Miles and Co ,Australia,,,3,,3.11
19945, Indian Curry Club - Annandale ,Australia,,,5,,4.53
19946, City Manoosh ,Australia,,,5,,4.27
19947, Madame Frou Frou ,Australia,,,6,,3.61
19948, Sky Phoenix Chinese Restaurant ,Australia,,,24,,4.58
19949, Bengal Tandoori Restaurant ,Australia,,,3,,4.56
19950, Steve Costi's Famous Fish - Sydney Westfield ,Australia,,,16,,5.42
19951, Gozleme World - Surry Hills ,Australia,,,27,,3.94
19952, Nithik's Kitchen ,Australia,,,9,,4.7
19953, Stax on Burgers - Sydney CBD ,Australia,,,2,,5
19954, New Thainatown ,Australia,,,1,,6
19955, Abb Air Thai Cuisine 1982 ,Australia,,,15,,4.53
19956, Gino's Kitchen & Cocktails ,Australia,,,23,,5.1
19957, Thai On Wok Express ,Australia,,,6,,5
19958, Killiney Kopitiam - Sydney ,Australia,,,30,,5.19
19959, BaBa House ,Australia,,,20,,5.33
19960, Domino's - Glebe ,Australia,,,5,,3.93
19961, 77 Dumpling King ,Australia,,,2,,4.34
19962, SLASHED BURGER ,Australia,,,2,,3.17
19963, Harry's Coffee & Gelato ,Australia,,,3,,3.89
19964, Nada's Lebanese Restaurant ,Australia,,,3,,6
19965, Little Beans - Glebe ,Australia,,,3,,4.22
19966, Meetball & Co ,Australia,,,8,,3.63
19967, The Prophet Restaurant ,Australia,,,9,,4.89
19968, Hongli Chinese Bbq Restaurant ,Australia,,,5,,3.53
19969, Taste of Shanghai - World Square ,Australia,,,48,,4.61
19970, Miso Japanese Restaurant - World Square ,Australia,,,6,,3.17
19971, Mammas Bar Kitchen ,Australia,,,5,,4.33
19972, Sushi Dzo ,Australia,,,1,,4
19973, Nano Espresso Bar ,Australia,,,5,,4.33
19974, Burgers on Cleveland ,Australia,,,3,,5
19975, Desserted - Rozelle ,Australia,,,13,,4.08
19976, Pizza Hut - Russell Lea ,Australia,,,7,,3.81
19977, Lahori Biryani House ,Australia,,,6,,4.11
19978, 21 Thai Restaurant - Express ,Australia,,,9,,5.52
19979, Sultan Palace Pakistani and Indian Restaurant ,Australia,,,5,,3.4
19980, Revolver ,Australia,,,5,,3
19981, Chicken Bite ,Australia,,,1,,5.33
